id,year,ncessch,leaid,grade,race,sex,enrollment,fips,extracted_at
190,2022,060004710394,0600047,4,99,99,70,6,2026-03-29
191,2022,060004711784,0600047,4,99,99,100,6,2026-03-29
192,2022,060004714472,0600047,4,99,99,10,6,2026-03-29
193,2022,060004807406,0600048,4,99,99,115,6,2026-03-29
194,2022,060004807407,0600048,4,99,99,60,6,2026-03-29
195,2022,060004807408,0600048,4,99,99,50,6,2026-03-29
196,2022,060004807410,0600048,4,99,99,56,6,2026-03-29
197,2022,060004807411,0600048,4,99,99,65,6,2026-03-29
198,2022,060004810395,0600048,4,99,99,3,6,2026-03-29
199,2022,060004810396,0600048,4,99,99,79,6,2026-03-29
200,2022,060004907415,0600049,4,99,99,25,6,2026-03-29
201,2022,060005102014,0600051,4,99,99,139,6,2026-03-29
202,2022,060005201475,0600052,4,99,99,58,6,2026-03-29
203,2022,060005201479,0600052,4,99,99,47,6,2026-03-29
204,2022,060005201481,0600052,4,99,99,27,6,2026-03-29
205,2022,060005201484,0600052,4,99,99,90,6,2026-03-29
206,2022,060006011342,0600060,4,99,99,134,6,2026-03-29
207,2022,060006105114,0600061,4,99,99,95,6,2026-03-29
208,2022,060006111925,0600061,4,99,99,63,6,2026-03-29
209,2022,060006112206,0600061,4,99,99,84,6,2026-03-29
210,2022,060006204233,0600062,4,99,99,62,6,2026-03-29
211,2022,060006204234,0600062,4,99,99,122,6,2026-03-29
212,2022,060006204235,0600062,4,99,99,89,6,2026-03-29
213,2022,060006206757,0600062,4,99,99,1,6,2026-03-29
214,2022,060006211500,0600062,4,99,99,83,6,2026-03-29
215,2022,060006312224,0600063,4,99,99,132,6,2026-03-29
216,2022,060006404870,0600064,4,99,99,60,6,2026-03-29
217,2022,060006404871,0600064,4,99,99,83,6,2026-03-29
218,2022,060006404872,0600064,4,99,99,85,6,2026-03-29
219,2022,060006404874,0600064,4,99,99,39,6,2026-03-29
220,2022,060006404875,0600064,4,99,99,101,6,2026-03-29
221,2022,060006404876,0600064,4,99,99,63,6,2026-03-29
222,2022,060006404877,0600064,4,99,99,94,6,2026-03-29
223,2022,060006407467,0600064,4,99,99,61,6,2026-03-29
224,2022,060006409424,0600064,4,99,99,65,6,2026-03-29
225,2022,060006411533,0600064,4,99,99,123,6,2026-03-29
226,2022,060006412042,0600064,4,99,99,0,6,2026-03-29
